position;address;balance;update_date
1;37qrqmmQ8jwJJB2aXMnXt98kiwezyzb5ww7;13019497.36067445;2019-02-15 17:05:24
2;37pM5xfTcosfv1VZLbh45pCE6FsFEnxKkgW;8900009.99500000;2019-02-15 17:05:24
3;37ms8U8BDPrC24DoUrivA8Lxuu1J1gWNb79;7265384.59772120;2019-02-15 17:05:24
4;37q3gGbYAJdyvaGosinnWnTc4wkkX86qYBE;7000009.99600000;2019-02-15 17:05:24
5;37ohHmvXogPmUGYQ3a33rW8ooskCSXuGUvN;5223621.99200016;2019-02-15 17:05:24
6;37jBtz8xaEQkB2bxGjMzj1PzFN3b6bCXNZb;5000118.48679838;2019-02-15 17:05:24
7;381jSB8nr9J41hsNMtvgSv7TgaYuf5ZtKJ2;4977453.98982959;2019-02-15 17:05:24
8;37qiM85hXCJnqVQazRZem9C7ZKyQR3zaZy4;4494461.97700000;2019-02-15 17:05:24
9;384cJKFdPeeu3eiWRQbEm8FhBYxEoRcuWMm;3018777.35589930;2019-02-15 17:05:24
10;37uDxz6BQX88fPCCEBwhY4GoCW6YWwZsAQS;2975000.72192110;2019-02-15 17:05:24
11;383dAabnYr9RtE5BK9S4RLiFqajbz6epmSB;2937931.66809658;2019-02-15 17:05:24
12;381ghxntDt7vLmZKxzQHpjRu3u5tBzNSKbv;2000000.00000000;2019-02-15 17:05:24
13;37pY2spcPPzEPZWCL7AK5toAKQSjxKqY2km;1316154.90743692;2019-02-15 17:05:24
14;37vGZPy7yRQj83SMSX1P6B8MosWSakS6zo4;1303378.94051635;2019-02-15 17:05:24
15;381zY5Gj8ey6NsexZ8QKK1aEVkJYT2v5Ku1;1272453.86028729;2019-02-15 17:05:24
16;3868pVhDQAs2v5MGxNN75CaHzyx1YV8TivM;1244545.21965899;2019-02-15 17:05:24
17;37jQsPaghKpJaP9ZgoRJFGPECKAemPPSpgU;1206973.77710047;2019-02-15 17:05:24
18;37uSveVewZq3ZT8kE3iXMD6cuNqCLS3rPmN;1111111.00433308;2019-02-15 17:05:24
19;381gZyTKsk8ZAxj2Twjx3YCvyVCCCrvP9Gn;1050183.44079423;2019-02-15 17:05:24
20;386ZmzwmmU4zRC9WjrMjDke3QwVje9PUmWo;1034437.00973651;2019-02-15 17:05:24
21;37nV3dSnn4rG5LimLtCkbFDbAT9dCbWBbRQ;1009589.07426440;2019-02-15 17:05:24
22;37jyjLVCZuvnewwWGEYpHZZuTHxSrfMB9de;1006212.88552785;2019-02-15 17:05:24
23;382WAXnqTvKQqHETtW9G2wUKWW2UXY8Nuvw;1001111.76058628;2019-02-15 17:05:24
24;37ygTiVrbaXjUkVFCAnDmCoRfekLZ2ZrFyt;1000009.74760560;2019-02-15 17:05:24
25;37vw8fmSwzQkhzbCDVGyUGD3rCby5pqqjzD;999806.39200099;2019-02-15 17:05:24
26;37jWFU3s1XntvmM3mbt4JU56PB5j4AKhKg1;982261.06296082;2019-02-15 17:05:24
27;37n1X8Mv6QtWP3uQnZLBzKYABji3TtCHbir;949443.82523966;2019-02-15 17:05:24
28;37oAaRUnc58yiPSfLhn4AJzU4mQFenew35K;799053.45753688;2019-02-15 17:05:24
29;385t7X6LG3SEM32oMYrnwagxy1ky7mJdDD5;714773.22050895;2019-02-15 17:05:24
30;37zgt3HnmyUBNk8bL4Ln4FsSSm1Yj1PxkJQ;690551.56643504;2019-02-15 17:05:24
31;382obK8e28RwY98zm2oNqdAUDfkd1kViiMo;631676.55606980;2019-02-15 17:05:24
32;381ECpmziXBbnnLHzDeNjQPU3nEdcregiHr;611455.21125962;2019-02-15 17:05:24
33;37tgTQ1jUvJmqV3RPdJVY4rZ5CnDa76N3p5;600018.13932196;2019-02-15 17:05:24
34;37kgA1nLfjYvHH2KzBdpVuzmHAes3DHDg6K;534982.23763335;2019-02-15 17:05:24
35;37rnNwLcgXNHaxPqJuMECMYEQrobJfZM2Ap;527357.26402144;2019-02-15 17:05:24
36;37rx8m9Zi4KkTsjmj7oLrpeyKbTDkiKhNT4;502014.30744753;2019-02-15 17:05:24
37;384J4Kc5f1kQQHTdMsevZLyvcqDPRd4MLMF;501990.04401771;2019-02-15 17:05:24
38;37qNw3EjzSAAm7PqvQrRQmgHQitpeMcbaVY;499131.91307656;2019-02-15 17:05:24
